birth_order,birth_sex,mother_age,birth_count,country
1胎,女,15～19歲,23,基隆市
1胎,女,20～24歲,85,基隆市
1胎,女,25～29歲,168,基隆市
1胎,女,30～34歲,205,基隆市
1胎,女,35～39歲,105,基隆市
1胎,女,40～44歲,18,基隆市
1胎,女,45～49歲,1,基隆市
1胎,女,50歲以上,1,基隆市
1胎,女,未滿15歲,0,基隆市
1胎,男,15～19歲,21,基隆市
1胎,男,20～24歲,78,基隆市
1胎,男,25～29歲,186,基隆市
1胎,男,30～34歲,213,基隆市
1胎,男,35～39歲,110,基隆市
1胎,男,40～44歲,18,基隆市
1胎,男,45～49歲,1,基隆市
1胎,男,50歲以上,0,基隆市
1胎,男,未滿15歲,2,基隆市
2胎,女,15～19歲,2,基隆市
2胎,女,20～24歲,24,基隆市
2胎,女,25～29歲,95,基隆市
2胎,女,30～34歲,147,基隆市
2胎,女,35～39歲,103,基隆市
2胎,女,40～44歲,13,基隆市
2胎,女,45～49歲,1,基隆市
2胎,女,50歲以上,0,基隆市
2胎,女,未滿15歲,0,基隆市
2胎,男,15～19歲,8,基隆市
2胎,男,20～24歲,35,基隆市
2胎,男,25～29歲,76,基隆市
2胎,男,30～34歲,144,基隆市
2胎,男,35～39歲,103,基隆市
2胎,男,40～44歲,15,基隆市
2胎,男,45～49歲,0,基隆市
2胎,男,50歲以上,0,基隆市
2胎,男,未滿15歲,0,基隆市
3胎,女,15～19歲,0,基隆市
3胎,女,20～24歲,9,基隆市
3胎,女,25～29歲,12,基隆市
3胎,女,30～34歲,26,基隆市
3胎,女,35～39歲,30,基隆市
3胎,女,40～44歲,9,基隆市
3胎,女,45～49歲,0,基隆市
3胎,女,50歲以上,0,基隆市
3胎,女,未滿15歲,0,基隆市
3胎,男,15～19歲,1,基隆市
3胎,男,20～24歲,5,基隆市
3胎,男,25～29歲,21,基隆市
3胎,男,30～34歲,37,基隆市
3胎,男,35～39歲,32,基隆市
3胎,男,40～44歲,9,基隆市
3胎,男,45～49歲,0,基隆市
3胎,男,50歲以上,0,基隆市
3胎,男,未滿15歲,0,基隆市
4胎,女,15～19歲,0,基隆市
4胎,女,20～24歲,0,基隆市
4胎,女,25～29歲,2,基隆市
4胎,女,30～34歲,5,基隆市
4胎,女,35～39歲,9,基隆市
4胎,女,40～44歲,2,基隆市
4胎,女,45～49歲,0,基隆市
4胎,女,50歲以上,0,基隆市
4胎,女,未滿15歲,0,基隆市
4胎,男,15～19歲,0,基隆市
4胎,男,20～24歲,0,基隆市
4胎,男,25～29歲,4,基隆市
4胎,男,30～34歲,9,基隆市
4胎,男,35～39歲,4,基隆市
4胎,男,40～44歲,1,基隆市
4胎,男,45～49歲,0,基隆市
4胎,男,50歲以上,0,基隆市
4胎,男,未滿15歲,0,基隆市
5胎,女,15～19歲,0,基隆市
5胎,女,20～24歲,0,基隆市
5胎,女,25～29歲,1,基隆市
5胎,女,30～34歲,2,基隆市
5胎,女,35～39歲,1,基隆市
5胎,女,40～44歲,2,基隆市
5胎,女,45～49歲,0,基隆市
5胎,女,50歲以上,0,基隆市
5胎,女,未滿15歲,0,基隆市
5胎,男,15～19歲,0,基隆市
5胎,男,20～24歲,1,基隆市
5胎,男,25～29歲,3,基隆市
5胎,男,30～34歲,2,基隆市
5胎,男,35～39歲,0,基隆市
5胎,男,40～44歲,1,基隆市
5胎,男,45～49歲,0,基隆市
5胎,男,50歲以上,0,基隆市
5胎,男,未滿15歲,0,基隆市
6胎,女,15～19歲,0,基隆市
6胎,女,20～24歲,0,基隆市
6胎,女,25～29歲,0,基隆市
6胎,女,30～34歲,0,基隆市
6胎,女,35～39歲,1,基隆市
6胎,女,40～44歲,0,基隆市
6胎,女,45～49歲,0,基隆市
6胎,女,50歲以上,0,基隆市
6胎,女,未滿15歲,0,基隆市
6胎,男,15～19歲,0,基隆市
6胎,男,20～24歲,0,基隆市
6胎,男,25～29歲,1,基隆市
6胎,男,30～34歲,1,基隆市
6胎,男,35～39歲,1,基隆市
6胎,男,40～44歲,0,基隆市
6胎,男,45～49歲,0,基隆市
